rank,word,lemma,occurrences_ppm
704,jeva,jeva,150.54653769846604
705,noche',noche',150.54653769846604
706,extraño,extraño,150.54653769846604
707,borracho,borracho,150.54653769846604
708,negro,negro,150.54653769846604
709,dan,dan,150.54653769846604
710,borracho',borracho',150.54653769846604
711,diga,diga,150.54653769846604
712,fumo,fumo,150.54653769846604
713,metes,metes,150.54653769846604
714,cae,cae,150.54653769846604
715,fama,fama,150.54653769846604
716,santa,santa,150.54653769846604
717,culpa,culpa,150.54653769846604
718,louis,louis,150.54653769846604
719,barrio,barrio,150.54653769846604
720,tanto,tanto,150.54653769846604
721,pista,pista,150.54653769846604
722,top,top,150.54653769846604
723,pop,pop,150.54653769846604
724,tre',tre',145.16987563780654
725,just,just,145.16987563780654
726,carita,carita,145.16987563780654
727,pasó,pasó,145.16987563780654
728,gracia',gracia',145.16987563780654
729,dice',dice',145.16987563780654
730,siendo,siendo,145.16987563780654
731,nigga,nigga,145.16987563780654
732,biggie,biggie,145.16987563780654
733,money,money,145.16987563780654
734,buscando,buscando,145.16987563780654
735,nene,nene,145.16987563780654
736,suena,suena,145.16987563780654
737,have,have,145.16987563780654
738,mirada,mirada,145.16987563780654
739,body,body,145.16987563780654
740,última,última,145.16987563780654
741,todo',todo',145.16987563780654
742,jodió,jodió,145.16987563780654
743,booty,booty,145.16987563780654
744,shit,shit,145.16987563780654
745,amén,amén,145.16987563780654
746,espero,espero,145.16987563780654
747,chocha,chocha,145.16987563780654
748,break,break,145.16987563780654
749,perdí,perdí,145.16987563780654
750,darle,darle,145.16987563780654
751,afuera,afuera,139.79321357714701
752,bellaqueo,bellaqueo,139.79321357714701
753,escuchando,escuchando,139.79321357714701
754,if,if,139.79321357714701
755,totito,totito,139.79321357714701
756,amas,amas,139.79321357714701
757,gana',gana',139.79321357714701
758,uy,uy,139.79321357714701
759,cabeza,cabeza,139.79321357714701
760,diga',diga',139.79321357714701
761,bueno,bueno,139.79321357714701
762,caro,caro,139.79321357714701
763,make,make,139.79321357714701
764,historia,historia,139.79321357714701
765,familia,familia,139.79321357714701
766,peak,peak,139.79321357714701
767,they,they,139.79321357714701
768,eso',eso',139.79321357714701
769,tenemos,tenemos,139.79321357714701
770,mercedes,mercedes,139.79321357714701
771,vuelta,vuelta,139.79321357714701
772,vuelva,vuelva,139.79321357714701
773,decirte,decirte,139.79321357714701
774,hah,hah,139.79321357714701
775,time,time,139.79321357714701
776,hiciste,hiciste,134.41655151648754
777,are,are,134.41655151648754
